title,day,url
【Aikido】 Shirakawa Ryuji sensei 【合気道】 白川竜次先生 呼吸投げ（応用）,2014/08/28,https://www.youtube.com/watch?v=oy_ZM2WSC-M
【Aikido Highlight】 Shirakawa Ryuji sensei　合気道 ‐ 白川竜次 先生 【剣＆一教】,2014/09/04,https://www.youtube.com/watch?v=tA6j-9nbjD0
Kotegaeshi - 【Aikido】Shirakawa Ryuji sensei 小手返し - 白川竜次 先生,2014/10/12,https://www.youtube.com/watch?v=TblGQY7s6t0
Shirakawa Ryuji sensei - Iriminage at Aikido Shinbukan Dojo (Hungary),2014/10/24,https://www.youtube.com/watch?v=NS1xM2goOAU
【Aikido】Shirakawa Ryuji sensei ‐ Kotegaeshi in Hungary,2014/10/27,https://www.youtube.com/watch?v=Cju3-mpqPqc
Aikido Highlight - Shirakawa Ryuji sensei （Hungary）,2014/11/01,https://www.youtube.com/watch?v=YQb_RjoJeD0
【合気道】呼吸投げ-白川竜次先生【aikido】-Shirakawa Ryuji sensei,2014/11/01,https://www.youtube.com/watch?v=bSGyJZ0dYWA
【Aikido】Shirakawa Ryuji sensei ‐ Irimi nage in Hungary,2014/11/08,https://www.youtube.com/watch?v=G7a6bVmYWW8
【Aikido】Shirakawa Ryuji sensei in Hungary,2014/11/18,https://www.youtube.com/watch?v=sZE6eR61H9k
Aikido Demonstration - Shirakawa Ryuji sensei 【白川竜次 先生】,2014/12/02,https://www.youtube.com/watch?v=Roki2hyx4VQ
【Aikido】Kokyu Nage‐Shirakawa Ryuji sensei,2014/12/10,https://www.youtube.com/watch?v=oA7iHefG8hg
【Aikido】Kokyu Nage 02‐Shirakawa Ryuji sensei,2014/12/21,https://www.youtube.com/watch?v=F35RYPeZp7E
【合気道】Shirakawa Ryuji sensei - Slow motion Aikido 01,2014/12/26,https://www.youtube.com/watch?v=Ly6qMBajogI
【合気道】Shirakawa Ryuji sensei - Slow motion Aikido 02,2014/12/31,https://www.youtube.com/watch?v=iEKitrHFW40
Aikido Highlight - Shirakawa Ryuji sensei ＜合気道01＞,2015/01/08,https://www.youtube.com/watch?v=zDo1hEaJlvQ
合気道‐寒稽古模範演武　白川竜次先生【Aikido】Shirakawa Ryuji sensei,2015/01/16,https://www.youtube.com/watch?v=NTDu7kGL7nY
【合気道】Shirakawa Ryuji sensei - Slow motion Aikido 03,2015/01/22,https://www.youtube.com/watch?v=ODQ_jRTbBCw
合気道‐技紹介　Aikido Techniques,2015/01/29,https://www.youtube.com/watch?v=NBzilP1Z7Dg
Aikido Highlight - Shirakawa Ryuji sensei ＜合気道02＞,2015/02/04,https://www.youtube.com/watch?v=HD_PSHyNjDA
【合気道】Shirakawa Ryuji sensei - Slow motion Aikido 04,2015/02/10,https://www.youtube.com/watch?v=YFxXR33ku-M
【Aikido】Kotegaeshi - Shirakawa Ryuji sensei,2015/02/17,https://www.youtube.com/watch?v=SVH9ny_M9Ro
Aikido Techniques 合気道‐技紹介,2015/03/01,https://www.youtube.com/watch?v=b8AK0rGpMjU&t=1s
【合気道】Shirakawa Ryuji sensei - Slow motion Aikido 05,2015/03/08,https://www.youtube.com/watch?v=vCE1EyEZI6Y
Aikido Highlight - Shirakawa Ryuji sensei ＜合気道03＞,2015/03/17,https://www.youtube.com/watch?v=rW9V1zfxEpk
Aikido Applied technique 01 - Shirakawa Ryuji sensei 合気道　白川竜次 先生,2015/03/21,https://www.youtube.com/watch?v=71ep9Xay46Y&t=1s
Aikido Applied technique 02 - Shirakawa Ryuji sensei 合気道　白川竜次 先生,2015/03/28,https://www.youtube.com/watch?v=hnM0D0blTos&t=80s
【Aikido】Irimi nage - Shirakawa Ryuji sensei,2015/04/05,https://www.youtube.com/watch?v=mW6fo0GSvE4
Aikido Applied technique 03 - Shirakawa Ryuji sensei 合気道 白川竜次 先生,2015/04/08,https://www.youtube.com/watch?v=uyUVJIkopao
Aikido Highlight - Shirakawa Ryuji sensei ＜合気道04＞,2015/04/18,https://www.youtube.com/watch?v=dzXm3oOW1B4
【合気道】Shirakawa Ryuji sensei - Slow motion Aikido 07,2015/04/22,https://www.youtube.com/watch?v=APAy226UnWM
【合気道】小手返し‐白川竜次 先生 Aikido-Kotegaeshi,2015/04/26,https://www.youtube.com/watch?v=CyCHOFQKsvU
Aikido Applied technique 04 - Shirakawa Ryuji sensei 合気道 白川竜次 先生,2015/04/29,https://www.youtube.com/watch?v=NpJyInFkUH0
【合気道】固め技（一教変化） katame waza Aikido（Ikkyo Variation),2015/05/09,https://www.youtube.com/watch?v=QEqi3ts7qrM
Aikido Highlight - Shirakawa Ryuji sensei ＜合気道05＞,2015/05/19,https://www.youtube.com/watch?v=vjAgYO1j2Wk
Aikido Demonstration - Shirakawa Ryuji sensei【白川竜次 先生】,2015/05/24,https://www.youtube.com/watch?v=fUI18V9Gjew
Aikido Applied technique 05 - Shirakawa Ryuji sensei 合気道 白川竜次 先生,2015/05/31,https://www.youtube.com/watch?v=bbVNVAAc8XQ
【合気道】入身投げ ‐【Aikido】Irimi nage,2015/06/06,https://www.youtube.com/watch?v=e_qK0Bzcatg
Calgary Aikikai FALL AIKIDO SEMINAR 2015 with Shirakawa Ryuji sensei,2015/06/13,https://www.youtube.com/watch?v=05KHLaXui0c
Aikido Highlight - Shirakawa Ryuji sensei ＜合気道06＞,2015/06/20,https://www.youtube.com/watch?v=SUCcgXF03kg
宮城県青少年合気道錬成大会 指導者演武 白川竜次先生 Aikido demonstration - Shirakawa Ryuji sensei,2015/07/03,https://www.youtube.com/watch?v=QiYhdC_by-Q&t=58s
【合気道】小手返し -【Aikido】Kotegaeshi,2015/07/10,https://www.youtube.com/watch?v=QwxZtXFcP4M
